Timestamp,EventType,Touch_X,Touch_Y,Pos_X,Pos_Y,Pos_Z
07/02/2025 15:14:23:885,Began,553.75,410.5,0.00,1.00,0.00
07/02/2025 15:14:23:885,Began,553.75,410.50,0.00,1.00,0.00
07/02/2025 15:14:23:903,Moved,551.25,249.25,0.00,1.00,0.00
07/02/2025 15:14:23:903,Moved,551.25,249.25,0.00,1.00,0.17
07/02/2025 15:14:23:916,Moved,551.25,239.25,0.00,1.00,0.17
07/02/2025 15:14:23:916,Moved,551.25,239.25,0.00,1.00,0.25
07/02/2025 15:14:23:933,Moved,551.25,224.25,0.00,1.00,0.25
07/02/2025 15:14:23:933,Moved,551.25,224.25,0.00,1.00,0.45
07/02/2025 15:14:23:952,Moved,551.25,210.5,0.00,1.00,0.45
07/02/2025 15:14:23:952,Moved,551.25,210.50,0.00,1.00,0.63
07/02/2025 15:14:23:956,Stationary,551.25,210.5,0.00,1.00,0.63
07/02/2025 15:14:23:980,Moved,551.25,199.25,0.00,1.00,0.63
07/02/2025 15:14:23:980,Moved,551.25,199.25,0.00,1.00,0.87
07/02/2025 15:14:24:005,Moved,548.75,183,0.00,1.00,0.87
07/02/2025 15:14:24:005,Moved,548.75,183.00,0.00,1.00,1.16
07/02/2025 15:14:24:018,Moved,547.5,176.75,0.00,1.00,1.16
07/02/2025 15:14:24:018,Moved,547.50,176.75,0.00,1.00,1.32
07/02/2025 15:14:24:034,Moved,547.5,165.5,0.00,1.00,1.32
07/02/2025 15:14:24:034,Moved,547.50,165.50,0.00,1.00,1.50
07/02/2025 15:14:24:066,Moved,546.25,153,0.00,1.00,1.50
07/02/2025 15:14:24:066,Moved,546.25,153.00,0.00,1.00,1.92
07/02/2025 15:14:24:076,Moved,545,149.25,0.00,1.00,1.92
07/02/2025 15:14:24:076,Moved,545.00,149.25,0.00,1.00,2.05
07/02/2025 15:14:24:095,Moved,545,143,0.00,1.00,2.05
07/02/2025 15:14:24:095,Moved,545.00,143.00,0.00,1.00,2.32
07/02/2025 15:14:24:104,Moved,543.75,139.25,0.00,1.00,2.32
07/02/2025 15:14:24:104,Moved,543.75,139.25,0.00,1.00,2.43
07/02/2025 15:14:24:124,Moved,543.75,134.25,0.00,1.00,2.43
07/02/2025 15:14:24:124,Moved,543.75,134.25,0.00,1.00,2.71
07/02/2025 15:14:24:131,Moved,542.5,130.5,0.00,1.00,2.71
07/02/2025 15:14:24:131,Moved,542.50,130.50,0.00,1.00,2.81
07/02/2025 15:14:24:143,Moved,542.5,126.75,0.00,1.00,2.81
